"KeyYear-Gender","NOME","TOTAL"
"2017-F-0742","Dayana","2"
"2017-F-0743","Zoë","2"
"2017-F-0744","Rosalina","2"
"2017-F-0745","Iria","2"
"2017-F-0746","Janete","2"
"2017-F-0747","Elysia","2"
"2017-F-0748","Nahary","2"
"2017-F-0749","Maysa","2"
"2017-F-0750","Ohana","2"
"2017-F-0751","Aylah","2"
"2017-F-0752","Elizabeth","2"
"2017-F-0753","Mirela","2"
"2017-F-0754","Costanza","2"
"2017-F-0755","Joanne","2"
"2017-F-0756","Engrácia","2"
"2017-F-0757","Núbia","2"
"2017-F-0758","Michela","2"
"2017-F-0759","Andria","2"
"2017-F-0760","Luziane","2"
"2017-F-0761","Estefânia","2"
"2017-F-0762","Ioana","2"
"2017-F-0763","Leena","2"
"2017-F-0764","Eloáh","2"
"2017-F-0765","Mikaela","2"
"2017-F-0766","Marcela","2"
"2017-F-0767","Yasmeen","2"
"2017-F-0768","Anaisa","2"
"2017-F-0769","Madalina","2"
"2017-F-0770","Sulamita","2"
"2017-F-0771","Liliane","2"
"2017-F-0772","Jael","2"
"2017-F-0773","Romana","2"
"2017-F-0774","Aryana","2"
"2017-F-0775","Yana","2"
"2017-F-0776","Kailany","2"
"2017-F-0777","Alda","2"
"2017-F-0778","Savana","2"
"2017-F-0779","Silvia","2"
"2017-F-0780","Keliane","2"
"2017-F-0781","Kaya","2"
"2017-F-0782","Luma","2"
"2017-F-0783","Fatimah","2"
"2017-F-0784","Shana","2"
"2017-F-0785","Daniana","2"
"2017-F-0786","Amélie","2"
"2017-F-0787","Andressa","2"
"2017-F-0788","Nuria","2"
"2017-F-0789","Syenna","2"
"2017-F-0790","Inaya","2"
"2017-F-0791","Kassandra","2"
"2017-F-0792","Shivani","2"
"2017-F-0793","Gurseerat","2"
"2017-F-0794","Arianne","2"
"2017-F-0795","Nataniela","2"
"2017-F-0796","Muriel","2"
"2017-F-0797","Gracy","2"
"2017-F-0798","Augusta","2"
"2017-F-0799","Marieta","2"
"2017-F-0800","Kenzie","2"
"2017-F-0801","Stephany","2"
"2017-F-0802","Anaiza","2"
"2017-F-0803","Denisa","2"
"2017-F-0804","Nayra","2"
"2017-F-0805","Rachel","2"
"2017-F-0806","Jaslyn","2"
